Age,Sex,Job,Housing,Saving Accounts,Checking Account,Credit Amount,Duration,Purpose,Age Group,Risk Exposure Tiers
67,Male,2,Own,Unknown,Little,1169,6,Radio/Tv,Senior,Low Exposure
22,Female,2,Own,Little,Moderate,5951,48,Radio/Tv,Young Adult,High Exposure
49,Male,1,Own,Little,Unknown,2096,12,Education,Middle-Aged,Medium Exposure
45,Male,2,Free,Little,Little,7882,42,Furniture/Equipment,Middle-Aged,High Exposure
53,Male,2,Free,Little,Little,4870,24,Car,Senior,High Exposure
35,Male,1,Free,Unknown,Unknown,9055,36,Education,Middle-Aged,High Exposure
53,Male,2,Own,Quite Rich,Unknown,2835,24,Furniture/Equipment,Senior,Medium Exposure
35,Male,3,Rent,Little,Moderate,6948,36,Car,Middle-Aged,High Exposure
61,Male,1,Own,Rich,Unknown,3059,12,Radio/Tv,Senior,Medium Exposure
28,Male,3,Own,Little,Moderate,5234,30,Car,Young Adult,High Exposure
25,Female,2,Rent,Little,Moderate,1295,12,Car,Young Adult,Low Exposure
24,Female,2,Rent,Little,Little,4308,48,Business,Young Adult,High Exposure
22,Female,2,Own,Little,Moderate,1567,12,Radio/Tv,Young Adult,Medium Exposure
60,Male,1,Own,Little,Little,1199,24,Car,Senior,Low Exposure
28,Female,2,Rent,Little,Little,1403,15,Car,Young Adult,Low Exposure
32,Female,1,Own,Moderate,Little,1282,24,Radio/Tv,Middle-Aged,Low Exposure
53,Male,2,Own,Unknown,Unknown,2424,24,Radio/Tv,Senior,Medium Exposure
25,Male,2,Own,Unknown,Little,8072,30,Business,Young Adult,High Exposure
44,Female,3,Free,Little,Moderate,12579,24,Car,Middle-Aged,High Exposure
31,Male,2,Own,Quite Rich,Unknown,3430,24,Radio/Tv,Middle-Aged,Medium Exposure
48,Male,2,Own,Little,Unknown,2134,9,Car,Middle-Aged,Medium Exposure
44,Male,2,Rent,Quite Rich,Little,2647,6,Radio/Tv,Middle-Aged,Medium Exposure
48,Male,1,Rent,Little,Little,2241,10,Car,Middle-Aged,Medium Exposure
44,Male,2,Own,Moderate,Moderate,1804,12,Car,Middle-Aged,Medium Exposure
26,Male,2,Own,Unknown,Unknown,2069,10,Furniture/Equipment,Young Adult,Medium Exposure
36,Male,1,Own,Little,Little,1374,6,Furniture/Equipment,Middle-Aged,Low Exposure
39,Male,1,Own,Little,Unknown,426,6,Radio/Tv,Middle-Aged,Low Exposure
42,Female,2,Rent,Rich,Rich,409,12,Radio/Tv,Middle-Aged,Low Exposure
34,Male,2,Own,Little,Moderate,2415,7,Radio/Tv,Middle-Aged,Medium Exposure
63,Male,2,Own,Little,Little,6836,60,Business,Senior,High Exposure
36,Male,2,Own,Rich,Moderate,1913,18,Business,Middle-Aged,Medium Exposure
27,Male,2,Own,Little,Little,4020,24,Furniture/Equipment,Young Adult,High Exposure
30,Male,2,Own,Moderate,Moderate,5866,18,Car,Young Adult,High Exposure
57,Male,1,Rent,Unknown,Unknown,1264,12,Business,Senior,Low Exposure
33,Female,3,Own,Little,Rich,1474,12,Furniture/Equipment,Middle-Aged,Low Exposure
25,Male,1,Own,Little,Moderate,4746,45,Radio/Tv,Young Adult,High Exposure
31,Male,2,Free,Little,Unknown,6110,48,Education,Middle-Aged,High Exposure
37,Male,2,Own,Little,Rich,2100,18,Radio/Tv,Middle-Aged,Medium Exposure
37,Male,2,Own,Little,Rich,1225,10,Domestic Appliances,Middle-Aged,Low Exposure
24,Male,2,Own,Little,Moderate,458,9,Radio/Tv,Young Adult,Low Exposure
30,Male,3,Own,Quite Rich,Unknown,2333,30,Radio/Tv,Young Adult,Medium Exposure
26,Male,2,Own,Quite Rich,Moderate,1158,12,Radio/Tv,Young Adult,Low Exposure
44,Male,1,Own,Little,Moderate,6204,18,Repairs,Middle-Aged,High Exposure
24,Male,2,Rent,Moderate,Little,6187,30,Car,Young Adult,High Exposure
58,Female,1,Free,Little,Little,6143,48,Car,Senior,High Exposure
35,Female,3,Own,Little,Unknown,1393,11,Car,Middle-Aged,Low Exposure
39,Male,2,Own,Quite Rich,Unknown,2299,36,Radio/Tv,Middle-Aged,Medium Exposure
23,Female,0,Rent,Quite Rich,Little,1352,6,Car,Young Adult,Low Exposure
39,Male,1,Own,Little,Unknown,7228,11,Car,Middle-Aged,High Exposure
28,Female,2,Own,Moderate,Unknown,2073,12,Radio/Tv,Young Adult,Medium Exposure
29,Male,1,Own,Unknown,Moderate,2333,24,Furniture/Equipment,Young Adult,Medium Exposure
30,Male,3,Own,Little,Moderate,5965,27,Car,Young Adult,High Exposure
25,Male,2,Own,Little,Unknown,1262,12,Radio/Tv,Young Adult,Low Exposure
31,Male,2,Own,Unknown,Unknown,3378,18,Car,Middle-Aged,Medium Exposure
57,Male,2,Free,Little,Moderate,2225,36,Car,Senior,Medium Exposure
26,Male,1,Own,Unknown,Unknown,783,6,Car,Young Adult,Low Exposure
52,Male,3,Own,Unknown,Moderate,6468,12,Radio/Tv,Senior,High Exposure
31,Female,2,Own,Little,Unknown,9566,36,Radio/Tv,Middle-Aged,High Exposure
23,Female,3,Own,Little,Rich,1961,18,Car,Young Adult,Medium Exposure
23,Female,1,Rent,Little,Little,6229,36,Furniture/Equipment,Young Adult,High Exposure
27,Male,2,Own,Little,Moderate,1391,9,Business,Young Adult,Low Exposure
50,Male,2,Own,Unknown,Moderate,1537,15,Radio/Tv,Middle-Aged,Medium Exposure
61,Male,3,Free,Little,Moderate,1953,36,Business,Senior,Medium Exposure
25,Male,2,Own,Little,Moderate,14421,48,Business,Young Adult,High Exposure
26,Female,2,Own,Little,Unknown,3181,24,Radio/Tv,Young Adult,Medium Exposure
48,Male,2,Own,Unknown,Unknown,5190,27,Repairs,Middle-Aged,High Exposure
29,Female,2,Own,Little,Unknown,2171,12,Radio/Tv,Young Adult,Medium Exposure
22,Male,2,Own,Rich,Moderate,1007,12,Car,Young Adult,Low Exposure
37,Male,2,Free,Little,Unknown,1819,36,Education,Middle-Aged,Medium Exposure
25,Female,2,Own,Unknown,Unknown,2394,36,Radio/Tv,Young Adult,Medium Exposure
30,Female,2,Own,Little,Unknown,8133,36,Car,Young Adult,High Exposure
46,Male,1,Rent,Unknown,Unknown,730,7,Radio/Tv,Middle-Aged,Low Exposure
51,Male,3,Free,Little,Little,1164,8,Vacation/Others,Senior,Low Exposure
41,Female,1,Own,Little,Moderate,5954,42,Business,Middle-Aged,High Exposure
40,Male,3,Own,Unknown,Little,1977,36,Education,Middle-Aged,Medium Exposure
66,Male,3,Free,Little,Little,1526,12,Car,Senior,Medium Exposure
34,Male,2,Own,Little,Little,3965,42,Radio/Tv,Middle-Aged,Medium Exposure
51,Male,2,Own,Little,Moderate,4771,11,Radio/Tv,Senior,High Exposure
39,Male,1,Own,Unknown,Unknown,9436,54,Car,Middle-Aged,High Exposure
22,Male,2,Own,Little,Moderate,3832,30,Furniture/Equipment,Young Adult,Medium Exposure
44,Female,2,Own,Unknown,Unknown,5943,24,Radio/Tv,Middle-Aged,High Exposure
47,Male,2,Own,Quite Rich,Unknown,1213,15,Radio/Tv,Middle-Aged,Low Exposure
24,Female,1,Rent,Moderate,Unknown,1568,18,Business,Young Adult,Medium Exposure
58,Female,1,Own,Little,Little,1755,24,Vacation/Others,Senior,Medium Exposure
52,Male,1,Own,Little,Little,2315,10,Radio/Tv,Senior,Medium Exposure
29,Female,3,Own,Little,Unknown,1412,12,Business,Young Adult,Low Exposure
27,Female,2,Own,Little,Moderate,1295,18,Furniture/Equipment,Young Adult,Low Exposure
47,Male,2,Free,Moderate,Moderate,12612,36,Education,Middle-Aged,High Exposure
30,Male,3,Own,Moderate,Little,2249,18,Car,Young Adult,Medium Exposure
28,Male,2,Own,Little,Little,1108,12,Repairs,Young Adult,Low Exposure
56,Male,2,Own,Little,Unknown,618,12,Radio/Tv,Senior,Low Exposure
54,Male,2,Own,Little,Little,1409,12,Car,Senior,Low Exposure
33,Female,1,Own,Unknown,Unknown,797,12,Radio/Tv,Middle-Aged,Low Exposure
20,Male,2,Rent,Unknown,Rich,3617,24,Furniture/Equipment,Young Adult,Medium Exposure
54,Male,2,Own,Rich,Moderate,1318,12,Car,Senior,Low Exposure
58,Male,2,Rent,Little,Moderate,15945,54,Business,Senior,High Exposure
61,Female,2,Own,Unknown,Unknown,2012,12,Education,Senior,Medium Exposure
34,Male,2,Own,Moderate,Moderate,2622,18,Business,Middle-Aged,Medium Exposure
36,Male,2,Own,Little,Moderate,2337,36,Radio/Tv,Middle-Aged,Medium Exposure
36,Male,3,Rent,Unknown,Moderate,7057,20,Car,Middle-Aged,High Exposure
41,Male,1,Rent,Moderate,Unknown,1469,24,Car,Middle-Aged,Low Exposure
24,Male,2,Rent,Little,Moderate,2323,36,Radio/Tv,Young Adult,Medium Exposure
24,Female,2,Own,Little,Unknown,932,6,Radio/Tv,Young Adult,Low Exposure
35,Male,2,Rent,Little,Moderate,1919,9,Furniture/Equipment,Middle-Aged,Medium Exposure
26,Male,2,Rent,Unknown,Unknown,2445,12,Car,Young Adult,Medium Exposure
39,Male,3,Own,Little,Moderate,11938,24,Vacation/Others,Middle-Aged,High Exposure
39,Male,3,Own,Little,Unknown,6458,18,Car,Middle-Aged,High Exposure
32,Male,2,Own,Little,Moderate,6078,12,Car,Middle-Aged,High Exposure
30,Female,2,Own,Unknown,Little,7721,24,Furniture/Equipment,Young Adult,High Exposure
35,Male,2,Own,Quite Rich,Moderate,1410,14,Business,Middle-Aged,Low Exposure
31,Male,2,Own,Moderate,Moderate,1449,6,Business,Middle-Aged,Low Exposure
23,Female,2,Rent,Little,Rich,392,15,Education,Young Adult,Low Exposure
28,Male,1,Rent,Little,Moderate,6260,18,Car,Young Adult,High Exposure
25,Female,2,Own,Little,Unknown,7855,36,Car,Young Adult,High Exposure
35,Male,2,Own,Quite Rich,Little,1680,12,Radio/Tv,Middle-Aged,Medium Exposure
47,Male,2,Own,Unknown,Unknown,3578,48,Radio/Tv,Middle-Aged,Medium Exposure
30,Female,3,Own,Unknown,Little,7174,42,Radio/Tv,Young Adult,High Exposure
27,Female,2,Rent,Unknown,Little,2132,10,Furniture/Equipment,Young Adult,Medium Exposure
23,Female,2,Own,Quite Rich,Little,4281,33,Furniture/Equipment,Young Adult,High Exposure
36,Male,3,Own,Quite Rich,Moderate,2366,12,Car,Middle-Aged,Medium Exposure
25,Female,2,Own,Little,Little,1835,21,Radio/Tv,Young Adult,Medium Exposure
41,Female,3,Rent,Little,Unknown,3868,24,Car,Middle-Aged,Medium Exposure
24,Male,1,Rent,Little,Unknown,1768,12,Furniture/Equipment,Young Adult,Medium Exposure
63,Male,2,Free,Little,Rich,781,10,Car,Senior,Low Exposure
27,Female,2,Rent,Unknown,Moderate,1924,18,Furniture/Equipment,Young Adult,Medium Exposure
30,Male,2,Own,Little,Little,2121,12,Car,Young Adult,Medium Exposure
40,Male,1,Own,Little,Little,701,12,Radio/Tv,Middle-Aged,Low Exposure
30,Male,2,Own,Little,Moderate,639,12,Repairs,Young Adult,Low Exposure
34,Male,3,Own,Little,Moderate,1860,12,Car,Middle-Aged,Medium Exposure
29,Female,2,Own,Little,Little,3499,12,Car,Young Adult,Medium Exposure
24,Female,2,Own,Unknown,Moderate,8487,48,Car,Young Adult,High Exposure
29,Male,2,Own,Little,Little,6887,36,Education,Young Adult,High Exposure
27,Male,1,Own,Little,Unknown,2708,15,Furniture/Equipment,Young Adult,Medium Exposure
47,Male,2,Free,Little,Unknown,1984,18,Furniture/Equipment,Middle-Aged,Medium Exposure
21,Female,2,Own,Moderate,Unknown,10144,60,Radio/Tv,Young Adult,High Exposure
38,Female,2,Own,Unknown,Unknown,1240,12,Radio/Tv,Middle-Aged,Low Exposure
27,Male,2,Own,Rich,Unknown,8613,27,Car,Young Adult,High Exposure
66,Male,1,Own,Quite Rich,Moderate,766,12,Radio/Tv,Senior,Low Exposure
35,Male,2,Own,Unknown,Moderate,2728,15,Radio/Tv,Middle-Aged,Medium Exposure
44,Female,1,Rent,Little,Rich,1881,12,Radio/Tv,Middle-Aged,Medium Exposure
27,Male,0,Own,Rich,Rich,709,6,Car,Young Adult,Low Exposure
30,Female,3,Own,Little,Moderate,4795,36,Radio/Tv,Young Adult,High Exposure
27,Male,3,Own,Little,Little,3416,27,Radio/Tv,Young Adult,Medium Exposure
22,Male,2,Own,Little,Little,2462,18,Furniture/Equipment,Young Adult,Medium Exposure
23,Female,2,Own,Little,Unknown,2288,21,Furniture/Equipment,Young Adult,Medium Exposure
30,Male,2,Own,Moderate,Moderate,3566,48,Business,Young Adult,Medium Exposure
39,Female,2,Own,Little,Little,860,6,Car,Middle-Aged,Low Exposure
51,Female,2,Own,Moderate,Unknown,682,12,Car,Senior,Low Exposure
28,Male,2,Own,Little,Little,5371,36,Furniture/Equipment,Young Adult,High Exposure
46,Male,2,Own,Rich,Unknown,1582,18,Radio/Tv,Middle-Aged,Medium Exposure
42,Male,2,Free,Moderate,Unknown,1346,6,Radio/Tv,Middle-Aged,Low Exposure
38,Male,2,Own,Little,Unknown,1924,10,Radio/Tv,Middle-Aged,Medium Exposure
24,Male,2,Own,Little,Rich,5848,36,Radio/Tv,Young Adult,High Exposure
29,Female,2,Rent,Rich,Moderate,7758,24,Car,Young Adult,High Exposure
36,Male,3,Rent,Moderate,Moderate,6967,24,Business,Middle-Aged,High Exposure
20,Female,2,Rent,Little,Little,1282,12,Furniture/Equipment,Young Adult,Low Exposure
48,Male,2,Own,Moderate,Little,1288,9,Repairs,Middle-Aged,Low Exposure
45,Male,1,Own,Little,Little,339,12,Education,Middle-Aged,Low Exposure
38,Male,2,Own,Moderate,Moderate,3512,24,Car,Middle-Aged,Medium Exposure
34,Male,1,Own,Unknown,Unknown,1898,6,Radio/Tv,Middle-Aged,Medium Exposure
36,Male,2,Own,Moderate,Unknown,2872,24,Radio/Tv,Middle-Aged,Medium Exposure
30,Female,2,Own,Little,Unknown,1055,18,Car,Young Adult,Low Exposure
36,Male,2,Own,Quite Rich,Unknown,1262,15,Domestic Appliances,Middle-Aged,Low Exposure
70,Male,3,Free,Little,Moderate,7308,10,Car,Senior,High Exposure
36,Male,2,Own,Quite Rich,Unknown,909,36,Car,Middle-Aged,Low Exposure
32,Male,2,Own,Quite Rich,Unknown,2978,6,Furniture/Equipment,Middle-Aged,Medium Exposure
33,Female,2,Own,Little,Little,1131,18,Furniture/Equipment,Middle-Aged,Low Exposure
20,Female,2,Own,Rich,Moderate,1577,11,Furniture/Equipment,Young Adult,Medium Exposure
25,Female,2,Rent,Little,Unknown,3972,24,Furniture/Equipment,Young Adult,Medium Exposure
31,Male,2,Own,Little,Moderate,1935,24,Business,Middle-Aged,Medium Exposure
33,Male,2,Rent,Little,Little,950,15,Car,Middle-Aged,Low Exposure
26,Female,2,Own,Little,Unknown,763,12,Furniture/Equipment,Young Adult,Low Exposure
34,Female,3,Own,Little,Moderate,2064,24,Furniture/Equipment,Middle-Aged,Medium Exposure
33,Male,2,Own,Little,Moderate,1414,8,Radio/Tv,Middle-Aged,Low Exposure
26,Male,2,Own,Little,Little,3414,21,Education,Young Adult,Medium Exposure
53,Female,3,Own,Unknown,Unknown,7485,30,Car,Senior,High Exposure
42,Male,2,Own,Little,Little,2577,12,Furniture/Equipment,Middle-Aged,Medium Exposure
52,Male,2,Own,Quite Rich,Little,338,6,Radio/Tv,Senior,Low Exposure
31,Male,3,Rent,Little,Unknown,1963,12,Radio/Tv,Middle-Aged,Medium Exposure
65,Male,2,Own,Little,Little,571,21,Car,Senior,Low Exposure
28,Male,2,Own,Little,Unknown,9572,36,Business,Young Adult,High Exposure
30,Male,3,Own,Little,Moderate,4455,36,Business,Young Adult,High Exposure
40,Male,1,Own,Unknown,Little,1647,21,Car,Middle-Aged,Medium Exposure
50,Male,2,Own,Rich,Unknown,3777,24,Furniture/Equipment,Middle-Aged,Medium Exposure
36,Male,2,Own,Little,Moderate,884,18,Car,Middle-Aged,Low Exposure
31,Male,2,Own,Little,Unknown,1360,15,Radio/Tv,Middle-Aged,Low Exposure
74,Female,3,Free,Little,Moderate,5129,9,Car,Senior,High Exposure
68,Male,0,Free,Little,Moderate,1175,16,Car,Senior,Low Exposure
20,Male,2,Own,Moderate,Little,674,12,Radio/Tv,Young Adult,Low Exposure
33,Female,2,Own,Little,Moderate,3244,18,Furniture/Equipment,Middle-Aged,Medium Exposure
54,Male,3,Own,Rich,Unknown,4591,24,Business,Senior,High Exposure
34,Male,1,Free,Moderate,Moderate,3844,48,Business,Middle-Aged,Medium Exposure
36,Male,2,Own,Little,Moderate,3915,27,Business,Middle-Aged,Medium Exposure
29,Male,2,Rent,Little,Unknown,2108,6,Radio/Tv,Young Adult,Medium Exposure
21,Male,2,Rent,Moderate,Moderate,3031,45,Radio/Tv,Young Adult,Medium Exposure
34,Female,3,Own,Little,Moderate,1501,9,Education,Middle-Aged,Medium Exposure
28,Female,2,Own,Little,Unknown,1382,6,Radio/Tv,Young Adult,Low Exposure
27,Female,2,Rent,Moderate,Moderate,951,12,Furniture/Equipment,Young Adult,Low Exposure
36,Male,2,Free,Unknown,Moderate,2760,24,Car,Middle-Aged,Medium Exposure
40,Male,3,Own,Little,Moderate,4297,18,Furniture/Equipment,Middle-Aged,High Exposure
52,Male,2,Own,Quite Rich,Unknown,936,9,Education,Senior,Low Exposure
27,Male,1,Own,Little,Little,1168,12,Car,Young Adult,Low Exposure
26,Male,2,Own,Little,Unknown,5117,27,Business,Young Adult,High Exposure
21,Male,2,Rent,Little,Little,902,12,Education,Young Adult,Low Exposure
38,Male,1,Own,Little,Unknown,1495,12,Car,Middle-Aged,Low Exposure
38,Male,3,Free,Little,Little,10623,30,Car,Middle-Aged,High Exposure
43,Male,2,Own,Little,Unknown,1935,12,Furniture/Equipment,Middle-Aged,Medium Exposure
26,Male,2,Own,Little,Moderate,1424,12,Domestic Appliances,Young Adult,Low Exposure
21,Male,1,Own,Little,Little,6568,24,Business,Young Adult,High Exposure
55,Male,2,Own,Rich,Unknown,1413,12,Car,Senior,Low Exposure
33,Male,2,Own,Unknown,Unknown,3074,9,Radio/Tv,Middle-Aged,Medium Exposure
45,Female,1,Own,Unknown,Unknown,3835,36,Radio/Tv,Middle-Aged,Medium Exposure
50,Male,2,Own,Little,Little,5293,27,Business,Middle-Aged,High Exposure
66,Male,3,Own,Little,Rich,1908,30,Business,Senior,Medium Exposure
51,Male,2,Own,Unknown,Unknown,3342,36,Radio/Tv,Senior,Medium Exposure
39,Female,1,Own,Unknown,Moderate,932,6,Education,Middle-Aged,Low Exposure
31,Male,2,Own,Little,Little,3104,18,Business,Middle-Aged,Medium Exposure
23,Male,2,Own,Little,Rich,3913,36,Radio/Tv,Young Adult,Medium Exposure
24,Male,1,Rent,Little,Little,3021,24,Furniture/Equipment,Young Adult,Medium Exposure
64,Female,2,Own,Little,Unknown,1364,10,Car,Senior,Low Exposure
26,Male,1,Own,Little,Moderate,625,12,Radio/Tv,Young Adult,Low Exposure
23,Female,2,Rent,Unknown,Little,1200,12,Education,Young Adult,Low Exposure
30,Male,2,Own,Little,Unknown,707,12,Radio/Tv,Young Adult,Low Exposure
32,Male,2,Own,Unknown,Unknown,2978,24,Business,Middle-Aged,Medium Exposure
30,Male,2,Own,Little,Unknown,4657,15,Car,Young Adult,High Exposure
27,Male,2,Own,Little,Unknown,2613,36,Repairs,Young Adult,Medium Exposure
27,Male,2,Own,Rich,Moderate,10961,48,Radio/Tv,Young Adult,High Exposure
53,Male,3,Free,Little,Little,7865,12,Furniture/Equipment,Senior,High Exposure
22,Male,2,Own,Little,Unknown,1478,9,Radio/Tv,Young Adult,Low Exposure
22,Male,2,Free,Little,Little,3149,24,Furniture/Equipment,Young Adult,Medium Exposure
26,Male,2,Own,Little,Rich,4210,36,Radio/Tv,Young Adult,High Exposure
51,Male,1,Free,Quite Rich,Unknown,2507,9,Car,Senior,Medium Exposure
35,Male,2,Own,Moderate,Unknown,2141,12,Radio/Tv,Middle-Aged,Medium Exposure
25,Male,1,Own,Little,Moderate,866,18,Radio/Tv,Young Adult,Low Exposure
42,Male,1,Own,Little,Unknown,1544,4,Radio/Tv,Middle-Aged,Medium Exposure
30,Male,3,Own,Little,Little,1823,24,Radio/Tv,Young Adult,Medium Exposure
23,Male,0,Own,Unknown,Moderate,14555,6,Car,Young Adult,High Exposure
61,Male,1,Rent,Moderate,Moderate,2767,21,Business,Senior,Medium Exposure
35,Female,2,Own,Little,Unknown,1291,12,Radio/Tv,Middle-Aged,Low Exposure
39,Male,2,Own,Little,Little,2522,30,Radio/Tv,Middle-Aged,Medium Exposure
29,Female,2,Own,Unknown,Little,915,24,Car,Young Adult,Low Exposure
51,Male,2,Own,Little,Unknown,1595,6,Radio/Tv,Senior,Medium Exposure
24,Male,2,Free,Little,Little,4605,48,Car,Young Adult,High Exposure
27,Female,2,Own,Little,Unknown,1185,12,Business,Young Adult,Low Exposure
35,Female,1,Own,Quite Rich,Unknown,3447,12,Education,Middle-Aged,Medium Exposure
25,Male,2,Own,Little,Unknown,1258,24,Business,Young Adult,Low Exposure
52,Male,2,Own,Little,Unknown,717,12,Radio/Tv,Senior,Low Exposure
35,Male,2,Rent,Moderate,Unknown,1204,6,Car,Middle-Aged,Low Exposure
26,Male,2,Own,Little,Rich,1925,24,Furniture/Equipment,Young Adult,Medium Exposure
22,Female,2,Rent,Little,Unknown,433,18,Radio/Tv,Young Adult,Low Exposure
