Age,Sex,Job,Housing,Saving Accounts,Checking Account,Credit Amount,Duration,Purpose,Age Group,Risk Exposure Tiers
39,Female,1,Own,Rich,Little,666,6,Car,Middle-Aged,Low Exposure
46,Female,1,Own,Little,Rich,2251,12,Furniture/Equipment,Middle-Aged,Medium Exposure
24,Female,2,Own,Little,Moderate,2150,30,Car,Young Adult,Medium Exposure
35,Male,2,Own,Moderate,Unknown,4151,24,Furniture/Equipment,Middle-Aged,High Exposure
24,Male,2,Own,Unknown,Moderate,2030,9,Furniture/Equipment,Young Adult,Medium Exposure
27,Male,1,Own,Unknown,Moderate,7418,60,Radio/Tv,Young Adult,High Exposure
35,Male,1,Own,Little,Unknown,2684,24,Radio/Tv,Middle-Aged,Medium Exposure
29,Male,2,Free,Little,Little,2149,12,Radio/Tv,Young Adult,Medium Exposure
23,Female,2,Own,Moderate,Unknown,3812,15,Car,Young Adult,Medium Exposure
57,Female,1,Own,Moderate,Unknown,1154,11,Radio/Tv,Senior,Low Exposure
27,Male,2,Own,Little,Little,1657,12,Furniture/Equipment,Young Adult,Medium Exposure
55,Female,2,Own,Little,Little,1603,24,Radio/Tv,Senior,Medium Exposure
36,Male,3,Free,Little,Little,5302,18,Car,Middle-Aged,High Exposure
57,Female,1,Free,Little,Unknown,2748,12,Education,Senior,Medium Exposure
32,Male,1,Own,Little,Unknown,1231,10,Car,Middle-Aged,Low Exposure
37,Male,2,Own,Little,Moderate,802,15,Radio/Tv,Middle-Aged,Low Exposure
36,Male,2,Own,Unknown,Unknown,6304,36,Business,Middle-Aged,High Exposure
38,Female,2,Own,Little,Unknown,1533,24,Radio/Tv,Middle-Aged,Medium Exposure
45,Male,3,Own,Little,Little,8978,14,Car,Middle-Aged,High Exposure
25,Male,2,Own,Unknown,Unknown,999,24,Radio/Tv,Young Adult,Low Exposure
32,Male,2,Own,Unknown,Unknown,2662,18,Car,Middle-Aged,Medium Exposure
37,Female,2,Rent,Quite Rich,Unknown,1402,12,Furniture/Equipment,Middle-Aged,Low Exposure
36,Male,3,Free,Unknown,Moderate,12169,48,Car,Middle-Aged,High Exposure
28,Male,2,Own,Little,Moderate,3060,48,Radio/Tv,Young Adult,Medium Exposure
34,Male,1,Own,Little,Little,11998,30,Repairs,Middle-Aged,High Exposure
32,Male,2,Own,Little,Unknown,2697,9,Radio/Tv,Middle-Aged,Medium Exposure
26,Female,2,Own,Little,Unknown,2404,18,Radio/Tv,Young Adult,Medium Exposure
49,Male,1,Own,Unknown,Little,1262,12,Furniture/Equipment,Middle-Aged,Low Exposure
32,Female,2,Own,Little,Unknown,4611,6,Furniture/Equipment,Middle-Aged,High Exposure
29,Male,3,Rent,Moderate,Unknown,1901,24,Radio/Tv,Young Adult,Medium Exposure
23,Male,2,Rent,Rich,Unknown,3368,15,Car,Young Adult,Medium Exposure
50,Male,2,Own,Little,Unknown,1574,12,Furniture/Equipment,Middle-Aged,Medium Exposure
49,Male,1,Own,Unknown,Rich,1445,18,Radio/Tv,Middle-Aged,Low Exposure
63,Male,2,Own,Unknown,Unknown,1520,15,Furniture/Equipment,Senior,Medium Exposure
37,Male,2,Own,Moderate,Moderate,3878,24,Car,Middle-Aged,Medium Exposure
35,Female,1,Own,Little,Little,10722,47,Car,Middle-Aged,High Exposure
26,Male,2,Own,Little,Little,4788,48,Car,Young Adult,High Exposure
31,Male,3,Free,Moderate,Moderate,7582,48,Vacation/Others,Middle-Aged,High Exposure
49,Female,2,Own,Little,Moderate,1092,12,Radio/Tv,Middle-Aged,Low Exposure
48,Male,2,Own,Little,Little,1024,24,Radio/Tv,Middle-Aged,Low Exposure
26,Male,2,Own,Little,Unknown,1076,12,Business,Young Adult,Low Exposure
28,Male,3,Rent,Little,Moderate,9398,36,Car,Young Adult,High Exposure
44,Female,3,Free,Little,Little,6419,24,Car,Middle-Aged,High Exposure
56,Male,2,Free,Little,Rich,4796,42,Car,Senior,High Exposure
46,Male,3,Own,Unknown,Unknown,7629,48,Business,Middle-Aged,High Exposure
26,Female,2,Own,Little,Moderate,9960,48,Furniture/Equipment,Young Adult,High Exposure
20,Female,2,Rent,Unknown,Unknown,4675,12,Car,Young Adult,High Exposure
45,Male,1,Own,Unknown,Unknown,1287,10,Car,Middle-Aged,Low Exposure
43,Male,2,Own,Little,Unknown,2515,18,Furniture/Equipment,Middle-Aged,Medium Exposure
32,Male,2,Own,Rich,Moderate,2745,21,Furniture/Equipment,Middle-Aged,Medium Exposure
54,Female,0,Own,Little,Unknown,672,6,Car,Senior,Low Exposure
42,Female,2,Own,Little,Moderate,3804,36,Radio/Tv,Middle-Aged,Medium Exposure
37,Male,1,Own,Unknown,Rich,1344,24,Car,Middle-Aged,Low Exposure
49,Male,2,Own,Little,Little,1038,10,Car,Middle-Aged,Low Exposure
44,Male,2,Free,Quite Rich,Unknown,10127,48,Car,Middle-Aged,High Exposure
33,Male,2,Own,Rich,Unknown,1543,6,Furniture/Equipment,Middle-Aged,Medium Exposure
24,Female,1,Rent,Unknown,Unknown,4811,30,Car,Young Adult,High Exposure
33,Male,1,Own,Moderate,Little,727,12,Radio/Tv,Middle-Aged,Low Exposure
24,Female,2,Own,Little,Moderate,1237,8,Furniture/Equipment,Young Adult,Low Exposure
22,Male,1,Rent,Little,Moderate,276,9,Car,Young Adult,Low Exposure
40,Male,0,Free,Unknown,Moderate,5381,48,Vacation/Others,Middle-Aged,High Exposure
25,Male,2,Own,Moderate,Unknown,5511,24,Furniture/Equipment,Young Adult,High Exposure
26,Female,2,Own,Little,Rich,3749,24,Furniture/Equipment,Young Adult,Medium Exposure
25,Male,1,Own,Little,Moderate,685,12,Car,Young Adult,Low Exposure
29,Male,1,Own,Unknown,Rich,1494,4,Car,Young Adult,Low Exposure
31,Male,2,Own,Little,Little,2746,36,Furniture/Equipment,Middle-Aged,Medium Exposure
38,Male,1,Own,Little,Little,708,12,Furniture/Equipment,Middle-Aged,Low Exposure
48,Female,1,Own,Unknown,Moderate,4351,24,Furniture/Equipment,Middle-Aged,High Exposure
32,Male,2,Own,Little,Unknown,701,12,Education,Middle-Aged,Low Exposure
27,Female,1,Own,Little,Little,3643,15,Furniture/Equipment,Young Adult,Medium Exposure
28,Male,3,Own,Little,Moderate,4249,30,Car,Young Adult,High Exposure
32,Male,2,Own,Little,Little,1938,24,Radio/Tv,Middle-Aged,Medium Exposure
34,Male,3,Free,Little,Little,2910,24,Car,Middle-Aged,Medium Exposure
28,Male,2,Own,Rich,Little,2659,18,Furniture/Equipment,Young Adult,Medium Exposure
36,Female,2,Own,Little,Unknown,1028,18,Car,Middle-Aged,Low Exposure
39,Male,1,Own,Little,Little,3398,8,Car,Middle-Aged,Medium Exposure
49,Male,2,Rent,Unknown,Unknown,5801,12,Furniture/Equipment,Middle-Aged,High Exposure
34,Female,2,Own,Rich,Unknown,1525,24,Car,Middle-Aged,Medium Exposure
31,Male,2,Own,Little,Rich,4473,36,Radio/Tv,Middle-Aged,High Exposure
28,Male,2,Own,Little,Moderate,1068,6,Radio/Tv,Young Adult,Low Exposure
75,Male,3,Free,Little,Little,6615,24,Car,Senior,High Exposure
30,Female,2,Own,Moderate,Unknown,1864,18,Education,Young Adult,Medium Exposure
24,Female,3,Own,Moderate,Moderate,7408,60,Car,Young Adult,High Exposure
24,Female,1,Rent,Moderate,Unknown,11590,48,Car,Young Adult,High Exposure
23,Male,2,Rent,Little,Little,4110,24,Furniture/Equipment,Young Adult,High Exposure
44,Male,3,Rent,Little,Little,3384,6,Furniture/Equipment,Middle-Aged,Medium Exposure
23,Female,1,Own,Little,Moderate,2101,13,Radio/Tv,Young Adult,Medium Exposure
24,Female,2,Rent,Unknown,Little,1275,15,Domestic Appliances,Young Adult,Low Exposure
28,Male,2,Own,Little,Little,4169,24,Furniture/Equipment,Young Adult,High Exposure
31,Male,1,Own,Little,Moderate,1521,10,Furniture/Equipment,Middle-Aged,Medium Exposure
24,Female,2,Free,Little,Moderate,5743,24,Education,Young Adult,High Exposure
26,Female,1,Rent,Little,Little,3599,21,Furniture/Equipment,Young Adult,Medium Exposure
25,Male,2,Rent,Quite Rich,Moderate,3213,18,Radio/Tv,Young Adult,Medium Exposure
33,Male,3,Own,Little,Moderate,4439,18,Business,Middle-Aged,High Exposure
37,Male,1,Own,Little,Rich,3949,10,Car,Middle-Aged,Medium Exposure
43,Female,1,Own,Little,Unknown,1459,15,Radio/Tv,Middle-Aged,Low Exposure
23,Male,2,Own,Little,Moderate,882,13,Radio/Tv,Young Adult,Low Exposure
23,Female,0,Rent,Quite Rich,Moderate,3758,24,Radio/Tv,Young Adult,Medium Exposure
34,Male,1,Own,Moderate,Unknown,1743,6,Business,Middle-Aged,Medium Exposure
32,Male,2,Free,Rich,Moderate,1136,9,Education,Middle-Aged,Low Exposure
23,Female,2,Rent,Little,Unknown,1236,9,Domestic Appliances,Young Adult,Low Exposure
29,Female,2,Own,Little,Moderate,959,9,Furniture/Equipment,Young Adult,Low Exposure
38,Male,3,Own,Unknown,Unknown,3229,18,Car,Middle-Aged,Medium Exposure
28,Male,2,Rent,Little,Little,6199,12,Radio/Tv,Young Adult,High Exposure
46,Male,2,Free,Quite Rich,Unknown,727,10,Education,Middle-Aged,Low Exposure
23,Male,1,Own,Little,Moderate,1246,24,Car,Young Adult,Low Exposure
49,Male,2,Own,Unknown,Unknown,2331,12,Radio/Tv,Middle-Aged,Medium Exposure
26,Male,3,Own,Little,Unknown,4463,36,Radio/Tv,Young Adult,High Exposure
28,Male,2,Own,Little,Unknown,776,12,Radio/Tv,Young Adult,Low Exposure
23,Female,2,Rent,Little,Little,2406,30,Furniture/Equipment,Young Adult,Medium Exposure
61,Male,2,Free,Unknown,Moderate,1239,18,Education,Senior,Low Exposure
37,Male,3,Own,Unknown,Rich,3399,12,Radio/Tv,Middle-Aged,Medium Exposure
36,Female,2,Own,Little,Rich,2247,12,Car,Middle-Aged,Medium Exposure
21,Male,2,Rent,Little,Unknown,1766,6,Furniture/Equipment,Young Adult,Medium Exposure
25,Male,0,Own,Little,Little,2473,18,Furniture/Equipment,Young Adult,Medium Exposure
36,Male,2,Own,Little,Unknown,1542,12,Business,Middle-Aged,Medium Exposure
27,Male,2,Own,Little,Unknown,3850,18,Car,Young Adult,Medium Exposure
22,Female,2,Rent,Little,Little,3650,18,Furniture/Equipment,Young Adult,Medium Exposure
42,Male,2,Own,Little,Little,3446,36,Furniture/Equipment,Middle-Aged,Medium Exposure
40,Female,2,Rent,Little,Moderate,3001,18,Furniture/Equipment,Middle-Aged,Medium Exposure
36,Male,2,Own,Unknown,Unknown,3079,36,Car,Middle-Aged,Medium Exposure
33,Male,2,Own,Little,Unknown,6070,18,Radio/Tv,Middle-Aged,High Exposure
23,Female,2,Rent,Little,Unknown,2146,10,Furniture/Equipment,Young Adult,Medium Exposure
63,Male,3,Free,Unknown,Unknown,13756,60,Car,Senior,High Exposure
60,Female,3,Free,Moderate,Moderate,14782,60,Vacation/Others,Senior,High Exposure
37,Female,2,Rent,Little,Little,7685,48,Business,Middle-Aged,High Exposure
34,Male,2,Own,Little,Unknown,2320,18,Radio/Tv,Middle-Aged,Medium Exposure
36,Male,2,Free,Unknown,Unknown,846,7,Radio/Tv,Middle-Aged,Low Exposure
57,Male,3,Free,Little,Moderate,14318,36,Car,Senior,High Exposure
52,Female,1,Own,Moderate,Unknown,362,6,Car,Senior,Low Exposure
39,Male,2,Own,Unknown,Little,2212,20,Furniture/Equipment,Middle-Aged,Medium Exposure
38,Female,3,Free,Little,Moderate,12976,18,Car,Middle-Aged,High Exposure
25,Female,2,Rent,Unknown,Unknown,1283,22,Car,Young Adult,Low Exposure
26,Male,2,Own,Little,Rich,1330,12,Car,Young Adult,Low Exposure
26,Male,1,Own,Moderate,Unknown,4272,30,Business,Young Adult,High Exposure
25,Female,2,Own,Little,Unknown,2238,18,Radio/Tv,Young Adult,Medium Exposure
21,Female,2,Rent,Unknown,Unknown,1126,18,Radio/Tv,Young Adult,Low Exposure
40,Male,3,Own,Little,Moderate,7374,18,Furniture/Equipment,Middle-Aged,High Exposure
27,Male,2,Own,Quite Rich,Moderate,2326,15,Business,Young Adult,Medium Exposure
27,Female,2,Own,Little,Unknown,1449,9,Business,Young Adult,Low Exposure
30,Male,3,Own,Little,Unknown,1820,18,Car,Young Adult,Medium Exposure
19,Female,1,Rent,Rich,Moderate,983,12,Furniture/Equipment,Young Adult,Low Exposure
39,Male,3,Free,Little,Little,3249,36,Car,Middle-Aged,Medium Exposure
31,Female,2,Own,Little,Little,1957,6,Radio/Tv,Middle-Aged,Medium Exposure
31,Male,3,Own,Little,Unknown,2406,9,Furniture/Equipment,Middle-Aged,Medium Exposure
32,Male,2,Rent,Moderate,Moderate,11760,39,Education,Middle-Aged,High Exposure
55,Female,3,Free,Little,Little,2578,12,Furniture/Equipment,Senior,Medium Exposure
46,Male,2,Own,Little,Little,2348,36,Furniture/Equipment,Middle-Aged,Medium Exposure
46,Male,2,Rent,Little,Moderate,1223,12,Car,Middle-Aged,Low Exposure
43,Female,1,Own,Rich,Unknown,1516,24,Radio/Tv,Middle-Aged,Medium Exposure
39,Male,2,Own,Little,Unknown,1473,18,Radio/Tv,Middle-Aged,Low Exposure
28,Male,2,Own,Unknown,Moderate,1887,18,Business,Young Adult,Medium Exposure
27,Male,2,Own,Little,Unknown,8648,24,Business,Young Adult,High Exposure
27,Male,1,Own,Little,Unknown,802,14,Car,Young Adult,Low Exposure
43,Male,2,Own,Unknown,Moderate,2899,18,Car,Middle-Aged,Medium Exposure
22,Male,2,Own,Little,Moderate,2039,24,Radio/Tv,Young Adult,Medium Exposure
43,Male,2,Own,Unknown,Unknown,2197,24,Car,Middle-Aged,Medium Exposure
27,Male,2,Own,Little,Little,1053,15,Radio/Tv,Young Adult,Low Exposure
26,Male,3,Own,Quite Rich,Unknown,3235,24,Radio/Tv,Young Adult,Medium Exposure
28,Male,2,Own,Quite Rich,Rich,939,12,Car,Young Adult,Low Exposure
20,Female,2,Own,Little,Moderate,1967,24,Radio/Tv,Young Adult,Medium Exposure
35,Male,3,Own,Little,Unknown,7253,33,Car,Middle-Aged,High Exposure
42,Male,3,Own,Little,Unknown,2292,12,Business,Middle-Aged,Medium Exposure
40,Male,1,Rent,Quite Rich,Unknown,1597,10,Car,Middle-Aged,Medium Exposure
35,Female,2,Own,Unknown,Little,1381,24,Car,Middle-Aged,Low Exposure
35,Male,2,Own,Little,Unknown,5842,36,Car,Middle-Aged,High Exposure
33,Male,1,Own,Little,Little,2579,12,Car,Middle-Aged,Medium Exposure
23,Female,2,Rent,Unknown,Little,8471,18,Education,Young Adult,High Exposure
31,Female,3,Own,Quite Rich,Unknown,2782,21,Car,Middle-Aged,Medium Exposure
33,Female,2,Own,Unknown,Moderate,1042,18,Car,Middle-Aged,Low Exposure
20,Female,2,Rent,Rich,Unknown,3186,15,Car,Young Adult,Medium Exposure
30,Male,2,Own,Unknown,Moderate,2028,12,Car,Young Adult,Medium Exposure
47,Male,1,Own,Little,Moderate,958,12,Car,Middle-Aged,Low Exposure
34,Male,3,Own,Moderate,Unknown,1591,21,Furniture/Equipment,Middle-Aged,Medium Exposure
25,Female,2,Own,Unknown,Moderate,2762,12,Furniture/Equipment,Young Adult,Medium Exposure
21,Male,2,Rent,Little,Moderate,2779,18,Car,Young Adult,Medium Exposure
29,Male,2,Own,Little,Unknown,2743,28,Radio/Tv,Young Adult,Medium Exposure
46,Male,2,Own,Rich,Unknown,1149,18,Radio/Tv,Middle-Aged,Low Exposure
20,Male,2,Own,Little,Unknown,1313,9,Furniture/Equipment,Young Adult,Low Exposure
55,Female,0,Free,Little,Little,1190,18,Repairs,Senior,Low Exposure
74,Male,1,Own,Little,Unknown,3448,5,Business,Senior,Medium Exposure
29,Male,3,Own,Little,Moderate,11328,24,Vacation/Others,Young Adult,High Exposure
36,Male,3,Free,Little,Little,1872,6,Furniture/Equipment,Middle-Aged,Medium Exposure
33,Male,2,Own,Little,Unknown,2058,24,Repairs,Middle-Aged,Medium Exposure
25,Male,2,Own,Little,Little,2136,9,Furniture/Equipment,Young Adult,Medium Exposure
25,Male,2,Own,Unknown,Moderate,1484,12,Radio/Tv,Young Adult,Low Exposure
23,Male,1,Rent,Quite Rich,Unknown,660,6,Repairs,Young Adult,Low Exposure
37,Female,2,Own,Rich,Unknown,1287,24,Car,Middle-Aged,Low Exposure
65,Male,0,Own,Little,Little,3394,42,Repairs,Senior,Medium Exposure
26,Female,0,Own,Little,Rich,609,12,Business,Young Adult,Low Exposure
39,Male,3,Own,Little,Unknown,1884,12,Car,Middle-Aged,Medium Exposure
30,Female,2,Own,Little,Little,1620,12,Furniture/Equipment,Young Adult,Medium Exposure
29,Male,2,Own,Little,Moderate,2629,20,Vacation/Others,Young Adult,Medium Exposure
41,Male,1,Own,Little,Unknown,719,12,Education,Middle-Aged,Low Exposure
30,Female,3,Own,Little,Moderate,5096,48,Furniture/Equipment,Young Adult,High Exposure
41,Female,1,Rent,Unknown,Unknown,1244,9,Education,Middle-Aged,Low Exposure
34,Female,2,Own,Little,Little,1842,36,Car,Middle-Aged,Medium Exposure
35,Male,2,Own,Little,Moderate,2576,7,Radio/Tv,Middle-Aged,Medium Exposure
55,Female,3,Own,Unknown,Rich,1424,12,Furniture/Equipment,Senior,Low Exposure
61,Male,2,Own,Rich,Moderate,1512,15,Repairs,Senior,Medium Exposure
30,Male,3,Own,Unknown,Unknown,11054,36,Car,Young Adult,High Exposure
29,Female,2,Own,Little,Unknown,518,6,Radio/Tv,Young Adult,Low Exposure
34,Male,2,Own,Little,Unknown,2759,12,Furniture/Equipment,Middle-Aged,Medium Exposure
35,Male,3,Own,Little,Unknown,2670,24,Car,Middle-Aged,Medium Exposure
31,Male,2,Own,Little,Little,4817,24,Car,Middle-Aged,High Exposure
29,Female,3,Own,Little,Unknown,2679,24,Car,Young Adult,Medium Exposure
36,Male,2,Rent,Little,Little,3905,11,Car,Middle-Aged,Medium Exposure
35,Male,2,Free,Little,Little,3386,12,Car,Middle-Aged,Medium Exposure
27,Female,2,Own,Little,Little,343,6,Domestic Appliances,Young Adult,Low Exposure
32,Male,2,Own,Little,Unknown,4594,18,Radio/Tv,Middle-Aged,High Exposure
37,Male,2,Own,Little,Little,3620,36,Furniture/Equipment,Middle-Aged,Medium Exposure
36,Male,2,Own,Little,Little,1721,15,Car,Middle-Aged,Medium Exposure
34,Female,3,Rent,Little,Moderate,3017,12,Furniture/Equipment,Middle-Aged,Medium Exposure
38,Male,2,Own,Unknown,Moderate,754,12,Education,Middle-Aged,Low Exposure
34,Male,2,Own,Little,Unknown,1950,18,Business,Middle-Aged,Medium Exposure
63,Male,2,Own,Little,Little,2924,24,Car,Senior,Medium Exposure
29,Female,1,Rent,Little,Little,1659,24,Radio/Tv,Young Adult,Medium Exposure
32,Male,2,Own,Unknown,Unknown,7238,48,Radio/Tv,Middle-Aged,High Exposure
26,Female,2,Own,Little,Unknown,2764,33,Business,Young Adult,Medium Exposure
35,Male,1,Own,Little,Unknown,4679,24,Car,Middle-Aged,High Exposure
22,Male,2,Rent,Moderate,Moderate,3092,24,Radio/Tv,Young Adult,Medium Exposure
23,Female,2,Own,Little,Little,448,6,Education,Young Adult,Low Exposure
28,Male,1,Own,Little,Little,654,9,Car,Young Adult,Low Exposure
36,Male,3,Own,Unknown,Unknown,1238,6,Education,Middle-Aged,Low Exposure
33,Male,2,Own,Little,Moderate,1245,18,Radio/Tv,Middle-Aged,Low Exposure
26,Female,2,Rent,Little,Little,3114,18,Furniture/Equipment,Young Adult,Medium Exposure
24,Male,2,Own,Quite Rich,Unknown,2569,39,Car,Young Adult,Medium Exposure
25,Male,2,Own,Little,Rich,5152,24,Radio/Tv,Young Adult,High Exposure
39,Male,1,Own,Moderate,Moderate,1037,12,Business,Middle-Aged,Low Exposure
44,Male,2,Own,Little,Little,1478,15,Furniture/Equipment,Middle-Aged,Low Exposure
23,Female,1,Own,Little,Moderate,3573,12,Radio/Tv,Young Adult,Medium Exposure
26,Male,2,Own,Little,Moderate,1201,24,Car,Young Adult,Low Exposure
57,Female,2,Rent,Rich,Little,3622,30,Furniture/Equipment,Senior,Medium Exposure
30,Female,2,Own,Rich,Unknown,960,15,Furniture/Equipment,Young Adult,Low Exposure
44,Male,2,Own,Quite Rich,Unknown,1163,12,Car,Middle-Aged,Low Exposure
47,Male,3,Own,Little,Moderate,1209,6,Car,Middle-Aged,Low Exposure
52,Male,2,Own,Little,Unknown,3077,12,Radio/Tv,Senior,Medium Exposure
62,Female,2,Free,Little,Unknown,3757,24,Car,Senior,Medium Exposure
35,Male,1,Rent,Moderate,Unknown,1418,10,Car,Middle-Aged,Low Exposure
26,Male,2,Rent,Little,Unknown,3518,6,Car,Young Adult,Medium Exposure
26,Male,2,Own,Little,Unknown,1934,12,Radio/Tv,Young Adult,Medium Exposure
42,Female,3,Free,Little,Moderate,8318,27,Business,Middle-Aged,High Exposure
27,Female,2,Own,Moderate,Unknown,1237,6,Radio/Tv,Young Adult,Low Exposure
38,Male,2,Own,Unknown,Moderate,368,6,Radio/Tv,Middle-Aged,Low Exposure
39,Male,1,Rent,Little,Little,2122,12,Car,Middle-Aged,Medium Exposure
20,Male,2,Own,Unknown,Little,2996,24,Furniture/Equipment,Young Adult,Medium Exposure
29,Male,3,Rent,Moderate,Moderate,9034,36,Furniture/Equipment,Young Adult,High Exposure
